nbins nline test training validacion
1 18 24.350000 27.000000 26.000000
2 18 24.350000 25.750000 31.000000
3 19 20.850000 23.750000 16.000000
4 19 22.300000 26.500000 24.000000
5 15 17.650000 17.750000 20.000000
6 15 13.650000 14.500000 13.000000
7 1 14.400000 12.500000 18.000000
8 6 11.150000 8.250000 16.000000
9 19 10.000000 10.500000 4.000000
10 18 11.150000 10.250000 15.000000
11 5 13.500000 9.500000 11.000000
12 6 12.800000 11.500000 15.000000
13 13 29.700000 25.750000 16.000000
14 14 11.450000 10.500000 13.000000
15 11 12.500000 11.000000 12.000000
16 18 11.750000 8.000000 17.000000
17 10 11.350000 7.500000 17.000000
18 15 12.250000 9.500000 12.000000
19 17 12.200000 9.250000 15.000000
20 10 11.550000 7.500000 13.000000
21 7 12.750000 8.750000 11.000000
22 1 12.800000 10.500000 14.000000
23 14 12.200000 9.250000 13.000000
24 17 13.550000 8.500000 17.000000
25 13 13.250000 7.250000 11.000000
26 13 34.500000 24.500000 34.000000
27 13 13.500000 9.000000 13.000000
28 12 14.350000 8.750000 24.000000
29 12 14.050000 8.250000 17.000000
30 4 35.300000 26.250000 35.000000
31 20 14.900000 8.750000 11.000000
32 4 15.500000 6.500000 21.000000
33 4 14.350000 8.500000 12.000000
34 14 15.250000 7.750000 18.000000
35 8 15.850000 9.000000 15.000000
36 16 15.250000 11.250000 17.000000
37 10 15.700000 12.750000 19.000000
38 16 16.250000 8.750000 8.000000
39 2 16.000000 8.250000 14.000000
40 6 16.500000 7.500000 21.000000
41 20 16.850000 7.750000 16.000000
42 18 16.150000 7.000000 14.000000
43 17 17.450000 11.000000 22.000000
44 17 17.450000 12.500000 14.000000
45 3 17.200000 10.000000 18.000000
46 9 16.300000 8.500000 13.000000
47 4 17.650000 7.500000 19.000000
48 15 17.000000 9.750000 20.000000
49 21 17.000000 9.250000 18.000000
50 19 17.150000 8.250000 16.000000
51 14 17.350000 9.750000 18.000000
52 3 38.100000 24.250000 33.000000
53 17 16.900000 8.500000 18.000000
54 20 17.200000 7.750000 10.000000
55 13 39.200000 26.250000 35.000000
56 14 17.700000 10.750000 14.000000
57 12 16.950000 8.500000 18.000000
58 15 18.000000 8.000000 12.000000
59 2 16.400000 7.250000 12.000000
60 2 38.850000 27.500000 33.000000
61 9 17.250000 8.750000 19.000000
62 6 17.150000 7.000000 15.000000
63 7 16.500000 8.250000 18.000000
64 9 18.100000 8.250000 22.000000
65 15 17.850000 7.000000 20.000000
66 7 18.400000 8.250000 24.000000
67 13 17.650000 7.250000 17.000000
68 9 17.550000 8.250000 15.000000
69 12 17.200000 8.000000 21.000000
70 6 18.450000 8.500000 13.000000
71 2 17.550000 9.250000 13.000000
72 3 18.100000 6.750000 23.000000
73 17 18.700000 7.000000 21.000000
74 2 18.150000 7.250000 15.000000
75 5 18.400000 8.500000 11.000000
76 2 19.000000 7.750000 18.000000
77 6 27.900000 19.750000 28.000000
78 14 18.900000 8.250000 19.000000
79 19 19.050000 9.500000 9.000000
80 16 18.200000 6.750000 15.000000
81 16 25.150000 16.750000 25.000000
82 14 19.600000 6.250000 22.000000
83 9 19.350000 8.000000 17.000000
84 14 18.900000 8.000000 18.000000
85 2 19.650000 9.250000 27.000000
86 14 20.200000 8.500000 19.000000
87 11 20.700000 7.500000 17.000000
88 4 19.450000 7.500000 21.000000
89 4 20.050000 7.250000 20.000000
90 5 18.550000 7.500000 19.000000
91 2 20.750000 7.250000 19.000000
92 18 19.650000 7.250000 22.000000
93 7 18.450000 6.750000 20.000000
94 9 26.350000 17.000000 28.000000
95 17 19.400000 6.750000 20.000000
96 14 20.100000 9.000000 15.000000
97 9 19.450000 8.500000 14.000000
98 14 21.100000 6.750000 24.000000
99 2 25.750000 16.250000 29.000000
100 1 18.600000 8.250000 15.000000
