nbins nline test training validacion
1 9 47.300000 46.375000 50.000000
2 11 41.750000 41.187500 43.750000
3 13 43.600000 43.562500 40.000000
4 6 36.050000 35.937500 41.500000
5 19 39.900000 39.375000 39.250000
6 21 35.100000 36.937500 36.250000
7 14 33.450000 34.312500 38.000000
8 20 28.350000 27.562500 32.250000
9 10 34.000000 34.187500 29.750000
10 6 32.900000 32.562500 34.250000
11 11 32.150000 31.000000 32.000000
12 20 27.550000 26.562500 30.750000
13 20 28.250000 30.625000 30.000000
14 21 29.000000 29.000000 29.750000
15 21 27.850000 28.375000 29.250000
16 11 29.550000 30.000000 30.500000
17 11 28.600000 26.812500 30.000000
18 17 27.900000 29.125000 29.250000
19 9 28.700000 28.375000 31.000000
20 12 28.250000 28.000000 32.500000
21 7 28.000000 28.250000 29.250000
22 16 29.000000 27.125000 28.750000
23 13 26.750000 26.312500 32.000000
24 14 28.650000 26.937500 33.250000
25 6 28.200000 28.562500 30.750000
26 1 30.750000 30.937500 33.250000
27 5 27.650000 27.312500 29.000000
28 18 27.900000 26.625000 29.250000
29 13 28.300000 26.750000 28.500000
30 2 27.300000 26.562500 30.750000
31 20 27.550000 26.062500 32.750000
32 16 28.400000 29.375000 31.250000
33 21 28.700000 26.750000 29.250000
34 17 28.300000 27.000000 29.500000
35 4 28.850000 28.125000 26.750000
36 20 28.750000 27.187500 30.750000
37 18 28.750000 27.062500 34.250000
38 20 28.800000 26.187500 32.250000
39 2 28.850000 27.812500 27.250000
40 6 29.050000 26.625000 34.250000
41 16 28.550000 26.625000 32.500000
42 7 29.300000 27.187500 27.750000
43 16 29.150000 27.125000 27.500000
44 12 28.600000 27.375000 31.250000
45 11 29.750000 26.812500 30.750000
46 6 30.000000 27.125000 32.000000
47 10 30.800000 26.750000 33.000000
48 14 29.450000 27.062500 29.500000
49 13 31.450000 27.312500 31.000000
50 3 29.800000 26.937500 31.000000
51 20 30.700000 28.375000 31.750000
52 1 32.100000 30.312500 31.000000
53 5 29.750000 28.312500 28.250000
54 5 29.600000 27.312500 28.750000
55 6 33.450000 32.562500 29.500000
56 20 30.200000 27.562500 35.000000
57 15 30.650000 28.250000 28.500000
58 10 30.350000 27.125000 35.250000
59 15 30.050000 26.625000 28.750000
60 10 29.950000 27.187500 30.500000
61 6 30.100000 25.937500 33.500000
62 21 29.300000 26.375000 31.000000
63 15 29.850000 26.750000 34.250000
64 16 31.450000 27.937500 27.750000
65 1 30.050000 26.125000 32.250000
66 20 30.800000 27.000000 33.250000
67 9 30.250000 25.562500 36.000000
68 4 30.900000 27.000000 30.750000
69 16 30.200000 26.500000 30.000000
70 2 30.450000 27.500000 33.250000
71 5 31.250000 25.250000 34.000000
72 17 31.500000 26.500000 33.000000
73 13 30.300000 26.437500 32.250000
74 16 30.300000 26.937500 33.000000
75 6 30.550000 26.687500 33.750000
76 10 31.100000 26.500000 37.500000
77 12 31.550000 27.125000 33.500000
78 18 30.500000 27.312500 30.500000
79 15 31.150000 27.125000 33.750000
80 16 31.000000 27.187500 35.500000
81 13 30.650000 25.375000 33.500000
82 16 30.150000 27.875000 32.250000
83 7 31.200000 26.375000 33.500000
84 13 30.900000 27.500000 30.250000
85 9 31.650000 26.937500 31.750000
86 20 30.800000 27.187500 34.000000
87 18 31.250000 26.812500 37.250000
88 20 30.850000 26.562500 33.250000
89 14 33.750000 28.687500 34.750000
90 6 31.150000 27.000000 30.500000
91 1 33.450000 29.625000 33.750000
92 4 31.000000 26.375000 32.750000
93 1 31.050000 27.312500 31.000000
94 5 33.200000 28.937500 37.500000
95 5 31.400000 26.500000 36.000000
96 9 31.550000 26.312500 35.500000
97 12 31.700000 27.312500 35.000000
98 2 33.150000 26.875000 33.000000
99 9 32.550000 26.000000 34.750000
100 16 32.050000 27.250000 34.250000
